Date,Time,Open,High,Low,Close
2021-05-18,16:00:00,1.41830,1.41856,1.41809,1.41847
2021-05-18,16:15:00,1.41849,1.41912,1.41827,1.41906
2021-05-18,16:30:00,1.41907,1.4195,1.41867,1.41922
2021-05-18,16:45:00,1.41924,1.41947,1.41909,1.4192
2021-05-18,17:00:00,1.41921,1.41951,1.41904,1.41917
2021-05-18,17:15:00,1.41916,1.41928,1.41913,1.41918
2021-05-18,17:30:00,1.41918,1.41933,1.41884,1.4193
2021-05-18,17:45:00,1.41927,1.41959,1.41908,1.41945
2021-05-18,18:00:00,1.41944,1.41967,1.41913,1.41965
2021-05-18,18:15:00,1.41966,1.41975,1.41916,1.41941
2021-05-18,18:30:00,1.41942,1.41943,1.41863,1.4187
2021-05-18,18:45:00,1.41873,1.41918,1.41852,1.41907
2021-05-18,19:00:00,1.41907,1.41931,1.41893,1.41893
2021-05-18,19:15:00,1.41901,1.41933,1.41894,1.41923
2021-05-18,19:30:00,1.41924,1.41937,1.41893,1.41918
2021-05-18,19:45:00,1.41917,1.41929,1.41875,1.41895
2021-05-18,20:00:00,1.41893,1.41918,1.41859,1.41862
2021-05-18,20:15:00,1.41863,1.41896,1.41857,1.41896
2021-05-18,20:30:00,1.41896,1.41905,1.41845,1.41859
2021-05-18,20:45:00,1.41859,1.41882,1.4183,1.41836
2021-05-18,21:00:00,1.41836,1.41881,1.41836,1.41881
2021-05-18,21:15:00,1.41858,1.41864,1.41857,1.41857
2021-05-18,21:30:00,1.41854,1.41858,1.41844,1.41851
2021-05-18,21:45:00,1.41851,1.41871,1.41839,1.41851
2021-05-18,22:00:00,1.41859,1.41896,1.41849,1.41883
2021-05-18,22:15:00,1.41882,1.41886,1.41873,1.41875
2021-05-18,22:30:00,1.41876,1.41909,1.41871,1.41905
2021-05-18,22:45:00,1.41904,1.41906,1.41882,1.41884
2021-05-18,23:00:00,1.41884,1.41895,1.41861,1.41873
2021-05-18,23:15:00,1.41878,1.41887,1.41873,1.41887
2021-05-18,23:30:00,1.41890,1.4192,1.41873,1.41892
2021-05-18,23:45:00,1.41893,1.41906,1.41863,1.41869
2021-05-19,00:00:00,1.41869,1.41895,1.41838,1.41882
2021-05-19,00:15:00,1.41883,1.41939,1.41879,1.41926
2021-05-19,00:30:00,1.41924,1.41966,1.41905,1.41964
2021-05-19,00:45:00,1.41963,1.42002,1.41929,1.41931
2021-05-19,01:00:00,1.41931,1.41932,1.41884,1.41888
2021-05-19,01:15:00,1.41888,1.419,1.41835,1.41886
2021-05-19,01:30:00,1.41887,1.4189,1.41849,1.4186
2021-05-19,01:45:00,1.41858,1.41896,1.4185,1.41865
2021-05-19,02:00:00,1.41865,1.41865,1.41813,1.41819
2021-05-19,02:15:00,1.41819,1.41839,1.41805,1.4183
2021-05-19,02:30:00,1.41832,1.41868,1.41797,1.41845
2021-05-19,02:45:00,1.41843,1.4185,1.41794,1.41804
2021-05-19,03:00:00,1.41803,1.41865,1.41792,1.41848
2021-05-19,03:15:00,1.41854,1.41876,1.41837,1.41862
2021-05-19,03:30:00,1.41862,1.41892,1.4186,1.41862
2021-05-19,03:45:00,1.41861,1.41892,1.41861,1.41873
2021-05-19,04:00:00,1.41874,1.41906,1.4186,1.41887
2021-05-19,04:15:00,1.41896,1.41955,1.41896,1.41946
2021-05-19,04:30:00,1.41948,1.41948,1.41853,1.41855
2021-05-19,04:45:00,1.41854,1.41877,1.41836,1.41876
2021-05-19,05:00:00,1.41873,1.41907,1.41855,1.41907
2021-05-19,05:15:00,1.41909,1.41918,1.41882,1.41885
2021-05-19,05:30:00,1.41885,1.41941,1.41876,1.41935
2021-05-19,05:45:00,1.41933,1.42004,1.41926,1.41989
2021-05-19,06:00:00,1.41989,1.41995,1.4186,1.4191
2021-05-19,06:15:00,1.41910,1.41957,1.41875,1.41878
2021-05-19,06:30:00,1.41878,1.41925,1.4178,1.41859
2021-05-19,06:45:00,1.41862,1.41919,1.41822,1.4188
2021-05-19,07:00:00,1.41879,1.41962,1.41796,1.41914
2021-05-19,07:15:00,1.41913,1.42,1.41863,1.4195
2021-05-19,07:30:00,1.41950,1.41975,1.41821,1.41869
2021-05-19,07:45:00,1.41870,1.41892,1.41719,1.41755
2021-05-19,08:00:00,1.41759,1.41887,1.41757,1.41823
2021-05-19,08:15:00,1.41819,1.41824,1.41738,1.41797
2021-05-19,08:30:00,1.41796,1.41859,1.41704,1.41715
