Date,Time,Open,High,Low,Close,Volume,
2019-08-27 ,"13:30:00	",1.22931,1.22991,1.22848,1.22882,"	6820",
2019-08-27 ,"14:00:00	",1.22878,1.22892,1.22592,1.22656,"	8769",
2019-08-27 ,"14:30:00	",1.22656,1.22765,1.22516,1.22745,"	8298",
2019-08-27 ,"15:00:00	",1.22742,1.22906,1.22698,1.22906,"	7470",
2019-08-27 ,"15:30:00	",1.22907,1.22935,1.22815,1.22870,"	4299",
2019-08-27 ,"16:00:00	",1.22871,1.23012,1.22804,1.22978,"	4764",
2019-08-27 ,"16:30:00	",1.22978,1.23034,1.22930,1.22963,"	3744",
2019-08-27 ,"17:00:00	",1.22963,1.22964,1.22888,1.22910,"	2287",
2019-08-27 ,"17:30:00	",1.22912,1.22912,1.22835,1.22908,"	1667",
2019-08-27 ,"18:00:00	",1.2291,1.22965,1.22886,1.22947,"	1935",
2019-08-27 ,"18:30:00	",1.22947,1.22962,1.22914,1.22944,"	1765",
2019-08-27 ,"19:00:00	",1.22952,1.22957,1.22808,1.22895,"	2216",
2019-08-27 ,"19:30:00	",1.22894,1.22902,1.22854,1.22874,"	1611",
2019-08-27 ,"20:00:00	",1.22872,1.22885,1.22830,1.22856,"	801",
2019-08-27 ,"20:30:00	",1.22853,1.22890,1.22846,1.22850,"	589",
2019-08-27 ,"21:00:00	",1.2285,1.22898,1.22842,1.22856,"	219",
2019-08-27 ,"21:30:00	",1.22856,1.22880,1.22848,1.22878,"	1906",
2019-08-27 ,"22:00:00	",1.22882,1.22893,1.22860,1.22864,"	731",
2019-08-27 ,"22:30:00	",1.22863,1.22873,1.22843,1.22847,"	512",
2019-08-27 ,"23:00:00	",1.22855,1.22875,1.22831,1.22852,"	1114",
2019-08-27 ,"23:30:00	",1.22853,1.22853,1.22800,1.22802,"	1481",
2019-08-28 ,"00:00:00	",1.22803,1.22869,1.22801,1.22865,"	2615",
2019-08-28 ,"00:30:00	",1.22865,1.22874,1.22776,1.22784,"	2334",
2019-08-28 ,"01:00:00	",1.22786,1.22810,1.22776,1.22794,"	2397",
2019-08-28 ,"01:30:00	",1.22794,1.22811,1.22703,1.22708,"	3563",
2019-08-28 ,"02:00:00	",1.22711,1.22752,1.22673,1.22751,"	1634",
2019-08-28 ,"02:30:00	",1.22749,1.22758,1.22713,1.22724,"	1792",
2019-08-28 ,"03:00:00	",1.22725,1.22774,1.22721,1.22755,"	1965",
2019-08-28 ,"03:30:00	",1.22752,1.22753,1.22694,1.22705,"	2180",
2019-08-28 ,"04:00:00	",1.22708,1.22772,1.22705,1.22762,"	1451",
2019-08-28 ,"04:30:00	",1.22763,1.22803,1.22757,1.22799,"	1456",
2019-08-28 ,"05:00:00	",1.22801,1.22848,1.22778,1.22841,"	1033",
2019-08-28 ,"05:30:00	",1.22837,1.22868,1.22796,1.22826,"	2146",
2019-08-28 ,"06:00:00	",1.22826,1.22844,1.22706,1.22748,"	4352",
2019-08-28 ,"06:30:00	",1.22748,1.22763,1.22645,1.22708,"	3053",
2019-08-28 ,"07:00:00	",1.22708,1.22852,1.22665,1.22829,"	5817",
2019-08-28 ,"07:30:00	",1.22829,1.22835,1.22539,1.22547,"	6430",
2019-08-28 ,"08:00:00	",1.22546,1.22555,1.22184,1.22271,"	13140",
2019-08-28 ,"08:30:00	",1.22271,1.22292,1.21556,1.21904,"	13203",
2019-08-28 ,"09:00:00	",1.21905,1.22332,1.21825,1.22083,"	10498",
2019-08-28 ,"09:30:00	",1.22078,1.22208,1.21915,1.21960,"	7913",
2019-08-28 ,"10:00:00	",1.21959,1.22222,1.21879,1.22140,"	8467",
2019-08-28 ,"10:30:00	",1.2214,1.22141,1.22053,1.22086,"	5681",
2019-08-28 ,"11:00:00	",1.22088,1.22230,1.21997,1.22167,"	6410",
2019-08-28 ,"11:30:00	",1.22166,1.22235,1.22093,1.22097,"	6620",
2019-08-28 ,"12:00:00	",1.22096,1.22141,1.21929,1.22042,"	9552",
2019-08-28 ,"12:30:00	",1.22042,1.22111,1.21968,1.22090,"	9634",
2019-08-28 ,"13:00:00	",1.22091,1.22188,1.21999,1.22157,"	8761",
2019-08-28 ,"13:30:00	",1.22157,1.22262,1.22115,1.22154,"	9293",
2019-08-28 ,"14:00:00	",1.22155,1.22169,1.22001,1.22069,"	5883",
2019-08-28 ,"14:30:00	",1.22069,1.22224,1.22017,1.22201,"	8112",
2019-08-28 ,"15:00:00	",1.22203,1.22393,1.22185,1.22340,"	6619",
2019-08-28 ,"15:30:00	",1.22341,1.22526,1.22309,1.22469,"	4575",
2019-08-28 ,"16:00:00	",1.22468,1.22468,1.22311,1.22340,"	4804",
2019-08-28 ,"16:30:00	",1.2234,1.22380,1.22269,1.22349,"	4306",
2019-08-28 ,"17:00:00	",1.22349,1.22379,1.22277,1.22340,"	3744",
2019-08-28 ,"17:30:00	",1.22342,1.22361,1.22308,1.22318,"	2496",
2019-08-28 ,"18:00:00	",1.22319,1.22337,1.22228,1.22252,"	1675",
2019-08-28 ,"18:30:00	",1.22252,1.22259,1.22129,1.22179,"	2703",
2019-08-28 ,"19:00:00	",1.22179,1.22194,1.22051,1.22113,"	2841",
2019-08-28 ,"19:30:00	",1.22111,1.22150,1.22085,1.22099,"	3019",
2019-08-28 ,"20:00:00	",1.22099,1.22144,1.22099,1.22137,"	623",
2019-08-28 ,"20:30:00	",1.22133,1.22142,1.22088,1.22104,"	610",
2019-08-28 ,"21:00:00	",1.22073,1.22144,1.22073,1.22130,"	256",
2019-08-28 ,"21:30:00	",1.22145,1.22159,1.22075,1.22121,"	1603",
2019-08-28 ,"22:00:00	",1.22138,1.22180,1.22126,1.22170,"	527",
2019-08-28 ,"22:30:00	",1.2217,1.22189,1.22166,1.22181,"	969",
2019-08-28 ,"23:00:00	",1.22181,1.22209,1.22160,1.22179,"	929",
2019-08-28 ,"23:30:00	",1.2217,1.22185,1.22165,1.22174,"	933",
2019-08-29 ,"00:00:00	",1.22173,1.22187,1.22104,1.22180,"	1643",
2019-08-29 ,"00:30:00	",1.22185,1.22186,1.22137,1.22149,"	1659",
2019-08-29 ,"01:00:00	",1.2215,1.22162,1.22101,1.22162,"	2771",
2019-08-29 ,"01:30:00	",1.2216,1.22166,1.22048,1.22064,"	2407",
2019-08-29 ,"02:00:00	",1.22064,1.22082,1.22014,1.22038,"	2244",
2019-08-29 ,"02:30:00	",1.22038,1.22052,1.21999,1.22011,"	1552",
2019-08-29 ,"03:00:00	",1.22011,1.22022,1.21992,1.22005,"	1928",
2019-08-29 ,"03:30:00	",1.22004,1.22034,1.21999,1.22034,"	1975",
2019-08-29 ,"04:00:00	",1.22035,1.22053,1.22010,1.22052,"	939",
2019-08-29 ,"04:30:00	",1.22052,1.22054,1.22021,1.22041,"	931",
2019-08-29 ,"05:00:00	",1.22042,1.22072,1.22019,1.22052,"	1295",
2019-08-29 ,"05:30:00	",1.22051,1.22133,1.22050,1.22091,"	2119",
2019-08-29 ,"06:00:00	",1.22091,1.22158,1.22068,1.22133,"	2717",
2019-08-29 ,"06:30:00	",1.22133,1.22134,1.21911,1.21941,"	4089",
2019-08-29 ,"07:00:00	",1.21942,1.22007,1.21816,1.22000,"	10251",
2019-08-29 ,"07:30:00	",1.22,1.22001,1.21820,1.21925,"	5586",
2019-08-29 ,"08:00:00	",1.21924,1.21991,1.21901,1.21969,"	5924",
2019-08-29 ,"08:30:00	",1.21968,1.22062,1.21914,1.21957,"	6302",
2019-08-29 ,"09:00:00	",1.21958,1.21958,1.21819,1.21893,"	6290",
2019-08-29 ,"09:30:00	",1.21893,1.22034,1.21868,1.21902,"	5260",
2019-08-29 ,"10:00:00	",1.21901,1.22014,1.21850,1.22008,"	5177",
